def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	C10ClF6H8O2+	309.011153		C10H8F6ClO2	308.9943	309.0279		0.00																		
1	1	C10F8H9N2+	309.063250		C10H9N2F8	309.0464	309.0800		0.00																		
1	1	C10F8H10N2+	310.071075		C10H10N2F8	310.0542	310.0880		0.00																		
1	1	C17ClF3H15+	311.080889		C17H15F3Cl	311.0639	311.0978		0.00																		
1	1	C14F7H11+	312.074349		C14H11F7	312.0573	312.0913		0.00																		
1	1	C19F3H27+	312.205937		C19H27F3	312.1890	312.2229		0.00																		
1	1	C16F3H33NO+	312.250876		C16H33NF3O	312.2339	312.2679		0.00																		
1	1	C18FH35N3+	312.280953		C18H35N3F	312.2640	312.2980		0.00																		
1	1	C7F12H+	312.988114		C7HF12	312.9711	313.0052		0.00																		
1	1	C13F6H15N2+	313.113394		C13H15N2F6	313.0963	313.1304		0.00																		
1	1	C20F2H35+	313.270134		C20H35F2	313.2531	313.2872		0.00																		
1	1	C15Cl3FH10+	313.982663		C15H10FCl3	313.9655	313.9997		0.00																		
1	1	C13F4H18O4+	314.113573		C13H18F4O4	314.0965	314.1307		0.00																		
1	1	C16H30N2O4+	314.220009		C16H30N2O4	314.2029	314.2371		0.00																		
1	1	C16F3H35NO+	314.266526		C16H35NF3O	314.2494	314.2836		0.00																		
1	1	C13Cl3H24NO+	315.091799		C13H24NCl3O	315.0747	315.1090		0.00																		
1	1	C22FH16O+	315.117970		C22H16FO	315.1009	315.1352		0.00																		
1	1	C16F4H33N+	315.254364		C16H33NF4	315.2372	315.2715		0.00																		
1	1	C15ClH21O5+	316.107203		C15H21ClO5	316.0900	316.1244		0.00																		
1	1	C20H32N2O+	316.250915		C20H32N2O	316.2337	316.2681		0.00																		
1	1	C7F10H3N2O+	321.008021		C7H3N2F10O	320.9906	321.0255		0.00																		
1	1	C10F8H9N2O+	325.058165		C10H9N2F8O	325.0404	325.0758		0.00																		
1	1	C11Cl5H19+	325.992390		C11H19Cl5	325.9747	326.0102		0.00																		
1	1	C10F9H4O2+	327.006209		C10H4F9O2	326.9884	327.0240		0.00																		
1	1	C17ClF3H15O+	327.075804		C17H15F3ClO	327.0580	327.0936		0.00																		
1	1	C21H34N3+	328.274724		C21H34N3	328.2568	328.2926		0.00																		
1	1	C18F2H35N3+	331.279356		C18H35N3F2	331.2614	331.2974		0.00																		
1	1	C14Cl3FH12N2+	332.004461		C14H12N2FCl3	331.9864	332.0225		0.00																		
1	1	C11F7H7N2O2+	332.039026		C11H7N2F7O2	332.0209	332.0571		0.00																		
1	1	C12ClF6H9O2+	334.018978		C12H9F6ClO2	334.0008	334.0371		0.00																		
1	1	C6F14+	337.977096		C6F14	337.9586	337.9956		0.00										1								
1	1	C11F10H3N+	339.010032		C11H3NF10	338.9916	339.0284		0.00																		
1	1	C15ClF5H13O+	339.056960		C15H13F5ClO	339.0384	339.0754		0.00																		
1	1	C9ClF10H7+	340.007111		C9H7F10Cl	339.9886	340.0256		0.00																		
1	1	C12F5H11N3O3+	340.071508		C12H11N3F5O3	340.0530	340.0900		0.00																		
1	1	C12Cl3F2H12N2O+	342.997779		C12H12N2F2Cl3O	342.9791	343.0165		0.00																		
